DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2015,7799.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2016,8128.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2017,8165.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2018,8319.6,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2019,8645.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2020,8047.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2021,9016.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2022,9864.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Albania,2023,10468.8,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2015,162360.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2016,165038.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2017,167719.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2018,169547.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2019,170548.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2020,154570.6,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2021,156696.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Austria,2022,169270.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2015,11572.7,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2016,11862.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2017,12076.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2018,12414.6,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2019,12814.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2020,11823.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2021,12738.7,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2022,13326.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bosnia and Herzegovina,2023,13615.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2015,190209.7,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2016,192667.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2017,196528.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2018,199866.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2019,202799.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2020,187510.6,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2021,198465.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Belgium,2022,203626.6,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2015,27815.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2016,28549.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2017,29196.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2018,30224.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2019,31757.3,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2020,30213.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2021,33045.6,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Bulgaria,2022,34584.3,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2015,252956.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2016,256963.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2017,259741.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2018,262982.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2019,265894.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2020,256577.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2021,263056.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2022,272946.8,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Switzerland,2023,277942.3,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2015,13042.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2016,13842.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2017,14430.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2018,14966.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2019,15280.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2020,12857.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2021,14612.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Cyprus,2022,16343.9,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2015,83612.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2016,86607.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2017,89839.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2018,92502.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2019,94861.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2020,86194.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2021,89199.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Czechia,2022,89202.3,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2015,1445328.0,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2016,1479582.3,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2017,1497359.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2018,1518606.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2019,1543610.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2020,1468164.2,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2021,1485652.7,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Germany,2022,1527856.3,p,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2015,117578.9,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2016,120986.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2017,124409.4,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2018,128835.2,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2019,130745.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2020,127593.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2021,134243.3,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,Denmark,2022,135107.5,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,5323267.8,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,5426851.1,,
ESTAT:NAMA_10_CO3_P3$DEFAULTVIEW(1.0),18/06/25 11:00:00,Annual,"Chain linked volumes (2010), million euro",Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,5530516.8,,
