Product,Brand,Quantity,Store,Country,URL,Search_Term
Pain céréales et graines,,,,France,https://world.openfoodfacts.org/product/3564706745605/pain-cereales-et-graines,cereals
Légumes du soleil et ricotta,Céréal Bio,,,France,https://world.openfoodfacts.org/product/3175681290556/legumes-du-soleil-et-ricotta-cereal-bio,cereals
Pain mais tournesol prec/300g,"Intermarché, Trad p&c",300 g,INTERMARCHE FRANCE,France,https://world.openfoodfacts.org/product/3250393047367/pain-au-mais-et-graines-de-tournesol-intermarche,cereals
100% mie brioche te,Harrys,430 g,,France,https://world.openfoodfacts.org/product/3228857002320/tranche-epaisse-harrys-brioche,cereals
100% mie seigle te,"Harris, Harrys",285 g,,France,https://world.openfoodfacts.org/product/3228857001989/100-mie-seigle-harris,cereals
Cereals bars,Décathlon,6 x 21 g,,France,https://world.openfoodfacts.org/product/3608390890125/barres-de-cereales-fruits-rouges-decathlon,cereals
4 brioch'burger,La fournée dorée,,,France,https://world.openfoodfacts.org/product/3587220004157/4-brioch-burger-la-fournee-doree,cereals
Crousti avoine,Bonneterre,50 g,,France,https://world.openfoodfacts.org/product/3396411248986/crousti-avoine-bonneterre,cereals
Biscottes,Leader Price,,,France,https://world.openfoodfacts.org/product/3263852510166/biscottes-leader-price,cereals
Decathlon milk chocolate cereal bar - Decathlon,,,,France,https://world.openfoodfacts.org/product/3608390890958/decathlon-milk-chocolate-cereal-bar-decathlon,cereals
Paillasson de pommes de terre oignons emmental,Ecomiam,400g,écomiam,France,https://world.openfoodfacts.org/product/3492500069262/paillasson-de-pommes-de-terre-oignons-emmental-ecomiam,cereals
Flûtes semi-complètes,"Jardin bio, Jardin biologique",400 g,,France,https://world.openfoodfacts.org/product/3456300015386/flutes-semi-completes-jardin-bio,cereals
Maïs sans sucre ajoutés,Bonduelle,,,France,https://world.openfoodfacts.org/product/3083681136579/mais-sans-sucre-ajoutes-bonduelle,cereals
Polenta Express Fine,Alpina,500g,,France,https://world.openfoodfacts.org/product/3252970011815/polenta-express-fine-alpina,cereals
Cereal bars,Decathlon,,,France,https://world.openfoodfacts.org/product/3608390890026/cereal-bars-decathlon,cereals
Galette qui la et boulgour    à la tomate,Céréal  Bio,,,France,https://world.openfoodfacts.org/product/3175681088177/galette-qui-la-et-boulgour-a-la-tomate-cereal-bio,cereals
Tourte de seigle bio,Casino,,,France,https://world.openfoodfacts.org/product/3222477719583/tourte-de-seigle-bio-casino,cereals
Sushi rice,Kelly Loves,,,France,https://world.openfoodfacts.org/product/3760299918758/sushi-rice-kelly-loves,cereals
Riz Jasmin,Todei,250 ge,,France,https://world.openfoodfacts.org/product/3770014043474/riz-bio-au-jasmin-todei,cereals
Biscottes,Girard,225 g,,France,https://world.openfoodfacts.org/product/3107468801594/biscottes-girard,cereals
Pain craquant norvégien seigle et son d’épeautre,Sigdal,,,France,https://world.openfoodfacts.org/product/36710355/pain-craquant-norvegien-seigle-et-son-d-epeautre-sigdal,cereals
Gressini bio Romarin,Kom&Sal,,,France,https://world.openfoodfacts.org/product/3770016266499/gressini-bio-romarin-kom-sal,cereals
Pain des Bastides,Europe des Pains,300 g,,France,https://world.openfoodfacts.org/product/3605580020614/pain-des-bastides-europe-des-pains,cereals
Pad thaï aux crevettes,sushi gourmet auchan,325g,Auchan,France,https://world.openfoodfacts.org/product/3701292633101/pad-thai-aux-crevettes-sushi-gourmet-auchan,cereals
Mais,Bonduelle,150 g,,France,https://world.openfoodfacts.org/product/3083681127379/mais-bonduelle,cereals
Muesli croquant nature,,,,France,https://world.openfoodfacts.org/product/3770015402102/muesli-croquant-nature,cereals
Cookies Cacao Pépites Sans Sucres,Gerblé,"130 g, 12 biscuits",,France,https://world.openfoodfacts.org/product/3484639115439/cookies-cacao-pepites-sans-sucres-gerble,cereals
Céréal Hazelnut-Apple,Céréal,,,France,https://world.openfoodfacts.org/product/3175681295469/cereal-hazelnut-apple,cereals
Cereal bars Caramel - Decathlon,,,,France,https://world.openfoodfacts.org/product/3608390891795/cereal-bars-caramel-decathlon,cereals
Escagaro pâtes alimentaires,Domaine de périès,500 g,,France,https://world.openfoodfacts.org/product/3770003264101/escagaro-pates-alimentaires-domaine-de-peries,cereals
Baguette graines précuite 260g CC,Biocoop,260 g,"Biocoop, L'Éléfàn",France,https://world.openfoodfacts.org/product/3760121213716/baguette-multigraines-biocoop,cereals
Boulgour,Toupargel,,Toupargel,France,https://world.openfoodfacts.org/product/3111952035228/boulgour-toupargel,cereals
Galette de riz chocolat noir,Bio Village,,,France,https://world.openfoodfacts.org/product/3564707768368/galette-de-riz-chocolat-noir-bio-village,cereals
Super granola,110 graines,,,France,https://world.openfoodfacts.org/product/3770012915193/super-granola-110-graines,cereals
Quinotto potimarron et châtaigne,Jardin. Bio,,,France,https://world.openfoodfacts.org/product/3456300018912/quinotto-potimarron-et-chataigne-jardin-bio,cereals
Nouille,Cora,,Cora,France,https://world.openfoodfacts.org/product/3760190933072/nouille-cora,cereals
Coquillettes blé complet,Juste bio,,,France,https://world.openfoodfacts.org/product/3700146212707/coquillettes-ble-complet-juste-bio,cereals
Boulgour de blé à la tunisienne,Céréal bio,,,France,https://world.openfoodfacts.org/product/3175681072817/boulgour-de-ble-a-la-tunisienne-cereal-bio,cereals
Petits pains complets à l'épeautre,Krisprolls,,,France,https://world.openfoodfacts.org/product/3317014031607/petits-pains-complets-a-l-epeautre-krisprolls,cereals
Basis mieli Cereal mix,Crownfield,,,France,https://world.openfoodfacts.org/product/3050389238386/basis-mieli-cereal-mix-crownfield,cereals
Les tartines craquantes sarrasin,Céréal bio,,,France,https://world.openfoodfacts.org/product/3135661037854/les-tartines-craquantes-sarrasin-cereal-bio,cereals
Cacao cereal,,,,France,https://world.openfoodfacts.org/product/3075681113650/cacao-cereal,cereals
Pan  de cereals y semillas,Oroweat,,,France,https://world.openfoodfacts.org/product/3633600027503/pan-de-cereals-y-semillas-oroweat,cereals
Escalopes gourmandes blé & soja,Céréal bio,,,France,https://world.openfoodfacts.org/product/3235681279989/escalopes-gourmandes-ble-soja-cereal-bio,cereals
"Aubergine, orge, soja",Cereal bio,,,France,https://world.openfoodfacts.org/product/3435681054283/aubergine-orge-soja-cereal-bio,cereals
Falafels,Cereal Bio,,,France,https://world.openfoodfacts.org/product/3175621849547/falafels-cereal-bio,cereals
Sweet corn,Green giant,,,France,https://world.openfoodfacts.org/product/3254474026029/sweet-corn-green-giant,cereals
Tartines craquantes multi céréales,Cereal bio,,,France,https://world.openfoodfacts.org/product/3535684478885/tartines-craquantes-multi-cereales-cereal-bio,cereals
Façon tajine marocain,Céréal bio,,,France,https://world.openfoodfacts.org/product/3175681038776/facon-tajine-marocain-cereal-bio,cereals
Galette de sarrasin et comté BIO,Céréal BIO,,,France,https://world.openfoodfacts.org/product/3639011033768/galette-de-sarrasin-et-comte-bio-cereal-bio,cereals
Pita Brottasche,,250g,REWE,Germany,https://world.openfoodfacts.org/product/4337256633178/pita-brottasche,cereals
Small leaf oat flaked,Golden Bridge,500g,,Germany,https://world.openfoodfacts.org/product/4061462266935/small-leaf-oat-flaked-golden-bridge,cereals
Premium Müsli,Golden Bridge,500 g,,Germany,https://world.openfoodfacts.org/product/4061464835658/premium-musli-golden-bridge,cereals
Schoko Müsli,Golden Bridge,,,Germany,https://world.openfoodfacts.org/product/4061464833821/schoko-musli-golden-bridge,cereals
Linguine,Combino,500g,,Germany,https://world.openfoodfacts.org/product/4056489822523/linguine-combino,cereals
Milk buns,Tastino,,,Germany,https://world.openfoodfacts.org/product/4056489120155/milk-buns-tastino,cereals
Fruit rounds,Millville,,Aldi,Germany,https://world.openfoodfacts.org/product/4061462408076/fruit-rounds-millville,cereals
High protein,Mestemacher,,,Germany,https://world.openfoodfacts.org/product/4000446061371/high-protein-mestemacher,cereals
Haferkraft zero Apfel,Corny,140g (4 Riegel á 35g),,Germany,https://world.openfoodfacts.org/product/4011800525415/haferkraft-zero-apple-corny,cereals
Baguettes chef select,Lidl,,Lidl,Germany,https://world.openfoodfacts.org/product/4056489447559/baguettes-chef-select-lidl,cereals
Weizenbrötchen,Brotland,,,Germany,https://world.openfoodfacts.org/product/4071800054735/weizenbrotchen-brotland,cereals
Apfel Johannisbeere Getreideriegel,Babydream,,,Germany,https://world.openfoodfacts.org/product/4305615968971/apfel-johannisbeere-getreideriegel-babydream,cereals
Kräuterbaguette,Chef select,,Lidl,Germany,https://world.openfoodfacts.org/product/4056489816515/krauterbaguette-chef-select,cereals
Sprouted 7 gram bread,simply nature,"1 loaf, 20.5 ounces",,Germany,https://world.openfoodfacts.org/product/4061464738485/sprouted-7-gram-bread-simply-nature,cereals
Krokante muesli,,45 gram,,Germany,https://world.openfoodfacts.org/product/4065019138485/krokante-muesli,cereals
Bio Hafer Crunchy,REWE Frei von,,REWE,Germany,https://world.openfoodfacts.org/product/4337256692564/bio-hafer-crunchy-rewe-frei-von,cereals
Meisterkorn - Weizenmischbrot,"Aldi, Goldback, Goldähren",750 g,,Germany,https://world.openfoodfacts.org/product/4061462911552/meisterkorn-weizenmischbrot-aldi,cereals
Dinkeltoastbrötchen,REWE Beste Wahl,"6 x 55,83 = 335 g",REWE,Germany,https://world.openfoodfacts.org/product/4337256754705/dinkel-toastbrotchen-rewe-beste-wahl,cereals
Energie bar,enerBiO,45 g,Rossmann,Germany,https://world.openfoodfacts.org/product/4305615986463/superfoodriegel-energy-bar-enerbio,cereals
Spaghetti,Dorfmühle,500g,,Germany,https://world.openfoodfacts.org/product/4000398254043/spaghetti-dorfmuhle,cereals
Corny Chocolat Banane,Corny,,,Germany,https://world.openfoodfacts.org/product/4011800584511/corny-chocolat-banane,cereals
Haferflocken zartblatt,"Bauck Hof, Bauckhof",,,Germany,https://world.openfoodfacts.org/product/4015637003344/haferflocken-zartblatt-bauck-hof,cereals
Strawberry Caramel Toffee Porridge,"My muesli, mymuesli",45g,,Germany,https://world.openfoodfacts.org/product/4251680806482/strawberry-caramel-toffee-porridge-my-muesli,cereals
Arabisches Fladenbrot,Baked for you,5pcs,,Germany,https://world.openfoodfacts.org/product/4045996080151/arabisches-fladenbrot-baked-for-you,cereals
Bio Frucht Getreide Riegel Apfel Banane,Babylove,25g,,Germany,https://world.openfoodfacts.org/product/4066447114140/frucht-getreide-riegel-apfel-banane-babylove,cereals
Saucisse seitan,Koro,,,Germany,https://world.openfoodfacts.org/product/4255582802955/saucisse-seitan-koro,cereals
Pain complet seigle,Pema,,,Germany,https://world.openfoodfacts.org/product/4000358055796/pain-complet-seigle-pema,cereals
More cereals,More Nutrition,1pcs,,Germany,https://world.openfoodfacts.org/product/4255719300842/more-cereals-more-nutrition,cereals
Designer Whey Protein Cinnamon Cereal Flavour,ESN,30 gram,,Germany,https://world.openfoodfacts.org/product/4250519665542/designer-whey-protein-cinnamon-cereal-flavour-esn,cereals
Milchbrötchen,Kronenbrot,220 g,,Germany,https://world.openfoodfacts.org/product/4071800060460/milch-brotchen-kronenbrot,cereals
Crunchy muesli plus,Vitalis,,,Germany,https://world.openfoodfacts.org/product/4000521010294/crunchy-muesli-plus-vitalis,cereals
L'oven Fresh Bagel Skinnys,Aldi,13 oz,Aldi,Germany,https://world.openfoodfacts.org/product/4099100031218/l-oven-fresh-bagel-skinnys-aldi,cereals
,Cucina nobile,,,Germany,https://world.openfoodfacts.org/product/4099200014715/orecchiette-cucina-nobile,cereals
Penne Pasta glutenfrei,Dennree,,,Germany,https://world.openfoodfacts.org/product/4021851549803/penne-pasta-glutenfrei-dennree,cereals
Focaccia,"Aldi, Boboli Benelux, Cucina Nobile",330g (2 x 165g),,Germany,https://world.openfoodfacts.org/product/4061458180634/focaccia-aldi,cereals
Protein long chips sweet chili,Keine,,,Germany,https://world.openfoodfacts.org/product/4260630920895/protein-long-chips-sweet-chili-keine,cereals
,Pasta Bernbacher Bella Pasta,500g,,Germany,https://world.openfoodfacts.org/product/4000470043206/pasta-bernbacher-bella-pasta,cereals
Kräuter Baguette,Chef select,175g,Lidl,Germany,https://world.openfoodfacts.org/product/4056489224419/krauter-baguette-chef-select,cereals
Gnocchi an Blauschimmelkäse,Chef  Select  Feine Küche - LIDL,,Lidel,Germany,https://world.openfoodfacts.org/product/4056489242253/gnocchi-an-blauschimmelkase-chef-select-feine-kuche-lidl,cereals
Sun dried tomato,L’oven Fresh,15 oz,,Germany,https://world.openfoodfacts.org/product/4099100246414/sun-dried-tomato-l-oven-fresh,cereals
Haferdrinkpulver Kakao,"Share, Share (dm)",400g,,Germany,https://world.openfoodfacts.org/product/4260739990560/haferdrinkpulver-kakao-share,cereals
Pain complet de seigle,Modersohn’s,,,Germany,https://world.openfoodfacts.org/product/4002787002556/pain-complet-de-seigle-modersohn-s,cereals
Designer whey cinnamon cereal,Esn,,,Germany,https://world.openfoodfacts.org/product/4250519651729/designer-whey-cinnamon-cereal-esn,cereals
Vollkorn Basmati Reis,"Ener Bio, enerBio",500g,,Germany,https://world.openfoodfacts.org/product/4305615924342/vollkorn-basmati-reis-ener-bio,cereals
Limited Designer Whey Protein Whey Protein Complex Leon‘s Cereal,ESN,908g,,Germany,https://world.openfoodfacts.org/product/4250519659459/limited-designer-whey-protein-whey-protein-complex-leon-s-cereal-esn,cereals
Sonnenblumen Kernbrot,"Rewe, Rewe Beste Wahl",500g,Rewe,Germany,https://world.openfoodfacts.org/product/4337256111799/sonnenblumen-kernbrot-rewe,cereals
Flocons d’avoine sans gluten,DmBio,500g,,Germany,https://world.openfoodfacts.org/product/4066447505979/flocons-d-avoine-sans-gluten-dmbio,cereals
Original Oat sachets,Golden Yale,,,Germany,https://world.openfoodfacts.org/product/4061464439740/original-oat-sachets-golden-yale,cereals
12 grain bread,L’oven fresh,,,Germany,https://world.openfoodfacts.org/product/4061459284089/12-grain-bread-l-oven-fresh,cereals
Pan integral de molde sin corteza,Hacendado,450 g,Mercadona,Spain,https://world.openfoodfacts.org/product/8402001021541/pan-integral-de-molde-sin-vorteza-hacendado,cereals
100% Integral,Oroweat,550g,,Spain,https://world.openfoodfacts.org/product/8412600019870/100-integral-oroweat,cereals
Fruit Grain Cereal Bar Blueberry,Happy Valley,,,Spain,https://world.openfoodfacts.org/product/0842379191176/fruit-grain-cereal-bar-blueberry-happy-valley,cereals
Harina de maiz blanco,Mercadona,,,Spain,https://world.openfoodfacts.org/product/8402001020957/harina-de-maiz-blanco-mercadona,cereals
Simpson cacao cereal cookies,,,,Spain,https://world.openfoodfacts.org/product/8412674108050/simpson-cacao-cereal-cookies,cereals
Cereal,Cuquets,,,Spain,https://world.openfoodfacts.org/product/8480017212894/cereal-cuquets,cereals
Sandwich multi cereal  pollo bacon,,130 g,,Spain,https://world.openfoodfacts.org/product/8422388000861/sandwich-multi-cereal-pollo-bacon,cereals
Cereals,,,,Spain,https://world.openfoodfacts.org/product/8436607853077/cereals,cereals
Gran bauletto integrale,Mulino Bianco,465g,,Italy,https://world.openfoodfacts.org/product/8076809584074/gran-bauletto-integrale-mulino-bianco,cereals
Gallette di mais - Amo Essere Bio,Amo essere,130g,,Italy,https://world.openfoodfacts.org/product/8017596132574/gallette-di-mais-amo-essere-bio,cereals
Corn Flakes,Tre mulini,2 x 425 g,Eurospin,Italy,https://world.openfoodfacts.org/product/8017596129765/corn-flames-tre-mulini,cereals
